"species","mean_growth_rate","precision_growth_rate","mean_year_precision"
"Aepophilus bonnairei",-0.0391323505040252,0.0936414342676849,10.1344454176851
"Aphelocheirus aestivalis",0.660382959392802,0.379054281382819,30063.8151867957
"Aquarius najas",-4.20013338991301,0.165314544040679,82694.2821857862
"Aquarius paludum",6.81203112361298,0.0568012682635222,80034.5476285628
"Arctocorisa carinata",2.79974832803096,0.0994264595947588,282771.16304374
"Arctocorisa germari",-3.56670319406301,0.339062145121323,2112.11751912338
"Callicorixa praeusta",-0.220788128155826,1.87182783954567,214.036870579696
"Callicorixa wollastoni",-0.437836807029539,0.421012261138082,35124.1289610877
"Ceratocombus coleoptratus",0.296324176829936,0.486556788888778,9.22962112594901
"Chartoscirta cincta",0.331272966358002,0.13541756087462,2226.9157968877
"Chartoscirta cocksii",-0.0830771081027445,0.101030854190348,1127.65067764006
"Chartoscirta elegantula",0.0587799885162599,0.333954000196081,15.838375634681
"Chiloxanthus pilosus",-1.73102433766285,0.0496869185907146,9.72240180792344
"Corixa affinis",-0.561776596478283,0.303556977600349,1700.83844809447
"Corixa dentipes",-1.30845042123895,0.337388236364362,1170.89940653077
"Corixa iberica",-0.233989584958839,0.464027977043712,321.246533304606
"Corixa panzeri",-0.145287929163721,0.601535531272681,163.46003637524
"Corixa punctata",-0.645981207517212,2.78915366390694,286.390047247272
"Cryptostemma alienum",-0.161507660360008,0.11356037400546,697.758894586352
"Cryptostemma waltli",-0.0216802984570633,0.13596108321186,10.4325610324476
"Cymatia bonsdorffii",-0.730201157482292,0.77705770081767,977.136311098594
"Cymatia coleoptrata",-1.09400380853862,0.77531063321367,1911.18967561795
"Cymatia rogenhoferi",4.09929580184385,0.058107039594696,30.1714794159018
"Gerris argentatus",1.17592811594213,0.150256661656238,7928.32535356215
"Gerris costae",0.0412543423597951,0.23595949928222,28210.3733533829
"Gerris gibbifer",-1.68106747793002,0.330650749261758,10251.9218206847
"Gerris lacustris",-0.759416026719015,1.03792289950436,214.394852155792
"Gerris lateralis",1.05135289862149,0.310092550712754,988.455135706556
"Gerris odontogaster",0.115531838904436,0.677782186691801,246.000197122218
"Gerris thoracicus",-0.126269139572651,0.741335253274977,318.133171181967
"Glaenocorisa propinqua subsp. cavifrons",0.143438952509239,0.118953474777792,81.7444036245416
"Glaenocorisa propinqua subsp. propinqua",-0.20860851200891,0.488419163227437,48.6496431569719
"Glaenocorisa propinqua",-0.176366649235238,0.879426451257223,26.5431345063108
"Halosalda lateralis",-2.84603938166329,0.0777538272255843,28.644996879988
"Hebrus pusillus",4.97059055251867,0.0501028268687182,25232.7106468545
"Hebrus ruficeps",2.57294681584047,0.206942393699939,9228.28077032194
"Hesperocorixa castanea",0.226557417256762,0.606463329279091,6382.37660553484
"Hesperocorixa linnaei",0.490009837485507,1.73025610300731,410.20381740233
"Hesperocorixa moesta",0.960667865630511,0.506693195509983,2870.61795995422
"Hesperocorixa sahlbergi",0.205152223760355,2.01370628259123,386.532402892122
"Hydrometra gracilenta",5.63690431755007,0.0345047399552501,18388.2773000456
"Hydrometra stagnorum",2.39839439718832,1.074190669223,421.090354711713
"Ilyocoris cimicoides",1.31230762182679,0.952659713431461,454.178273427911
"Limnoporus rufoscutellatus",-0.200479418364996,0.427731992810724,8.68949901275382
"Macrosaldula scotica",0.246327313196202,0.124855404801176,7.26518452529009
"Micracanthia marginalis",-0.910906582387066,0.115603618791095,12.7855800990715
"Micronecta griseola",1.47272691374949,0.0559513666051938,82.2234090048639
"Micronecta minutissima",-3.18922001286667,0.0362953663238916,190.947050099987
"Micronecta poweri",2.25676369189785,0.168038945581673,1443.34643963182
"Micronecta scholtzi",3.12369451304477,0.0897060049226693,1962.85186659467
"Microvelia buenoi",3.24806997560744,0.0666476006808035,11855.8266743626
"Microvelia pygmaea",5.55304013055848,0.0274994563279954,7776.15590539512
"Microvelia reticulata",2.78868729393664,0.451116317276202,313.455691872771
"Naucoris maculatus",-0.161934201195856,0.967457148872961,26.8289559022108
"Nepa cinerea",1.84327758713547,1.25533741862661,292.588878434377
"Notonecta glauca",0.0775878879441446,11.6615845119941,527.587950639164
"Notonecta maculata",-2.16918652394344,0.162060979050631,1190.31071847587
"Notonecta obliqua",-0.773685704965745,0.564141884817998,1948.85422956856
"Notonecta viridis",-1.73370624287828,0.202809177662898,362.660735311308
"Pachycoleus waltli",0.193422227304152,0.504101642617784,12.6209336169366
"Paracorixa concinna",1.42194991481937,0.284584598507163,469.901373888788
"Plea minutissima",3.61952784896467,0.386239043674728,394.413290494495
"Ranatra linearis",3.22238321094669,0.388096952684099,240.268835594101
"Salda littoralis",-2.20594214611437,0.0935705220958099,20956.1210700792
"Salda morio",-0.0584833145979333,0.222939016737811,34.8015940724744
"Salda muelleri",-1.4406859480471,0.204374569692873,430.836414789497
"Saldula arenicola",-0.162949616195126,0.0463889443156504,7.49540107403601
"Saldula c-album",-2.5365802819088,0.096147248834624,159.560544975512
"Saldula fucicola",-0.801599271494452,0.0585101371830417,10.8955322027125
"Saldula opacula",-1.35932755878629,0.0604875228756063,158.226306975838
"Saldula orthochila",-1.41184130080218,0.188682565208058,37.6550039409947
"Saldula pallipes",-1.73044907330898,0.0508196778186315,59.1643688024123
"Saldula palustris",-1.01499395032694,0.105153738456682,5558.91161263134
"Saldula pilosella",6.56872731515671,0.024577759122849,7.19699269603619
"Saldula saltatoria",-3.12300014029951,0.0904665087407678,5271.94398989713
"Saldula scotica",-1.21632356313697,0.0456802666822546,1017.32633727573
"Sigara distincta",-1.12211977849468,1.25590513403809,357.692143377642
"Sigara dorsalis",-0.48874325890685,4.41785566654886,806.16839557816
"Sigara falleni",-2.62806889605043,1.02491967714381,484.429205644868
"Sigara fossarum",-0.718531999644984,1.65905777518865,479.663178031116
"Sigara iactans",9.86373618861642,0.0254118779298909,41146.618416077
"Sigara lateralis",0.446192443473964,1.44575760863037,713.490779513528
"Sigara limitata",1.50392903368617,0.339598752720346,1759.4127250154
"Sigara nigrolineata",-0.843631461651164,0.989777563822963,299.258328331292
"Sigara scotti",-0.0426439087677346,0.595929119465286,2313.78677835324
"Sigara selecta",2.8637598602333,0.051055826033649,6.50961166980606
"Sigara semistriata",1.78850604540526,0.384012568512433,3402.25933015567
"Sigara stagnalis",-0.0876704211266972,0.371489178469175,2690.95485450322
"Sigara striata",-1.71775444043288,0.118131397340799,45034.7563055183
"Sigara venusta",-0.904316536019701,0.340673917252514,10291.8149479908
"Velia caprai",1.1313517283129,0.491461646403388,1151.64435028569
"Velia saulii",-1.37977460617576,0.150552502364615,12648.4438812238
